t,i,j,trade_usd_thousands,qty_tons
2015,251,418,14955.885000000002,1774.6969999999985
2015,251,458,2175602.0509999976,214463.8420000003
2015,251,608,889052.4140000002,225147.79399999947
2015,251,702,7100557.904999994,661994.8160000008
2015,251,704,1859901.6939999987,250354.25299999968
2015,251,764,2507678.3339999993,1034966.1620000035
2015,276,96,250028.172,54346.890999999625
2015,276,104,176262.00999999992,18067.309000000005
2015,276,116,143376.0200000004,40665.125999999895
2015,276,360,3541310.5589999985,746451.7570000007
2015,276,418,48216.53699999995,23744.13399999997
2015,276,458,5832120.151000008,849037.1750000006
2015,276,608,2267841.738000001,292978.5850000003
2015,276,702,8287610.936000016,774595.1389999997
2015,276,704,2989114.0469999993,449435.5649999997
2015,276,764,5375072.541999999,874823.0349999996
2015,360,56,842021.3970000037,276044.5769999988
2015,360,156,18778168.79099996,97528190.09800021
2015,360,251,1873287.232000002,541067.3350000003
2015,360,276,4592016.290000007,1294784.6600000043
2015,360,380,2232391.0319999997,4945362.82799999
2015,360,392,19403066.056000073,45873961.075999714
2015,360,410,9213776.413000021,43843571.3630001
2015,360,528,3200912.6440000082,3713287.656000021
2015,360,616,696153.6219999999,627328.4640000032
2015,360,724,1847398.1629999985,6000493.007000014
2015,360,752,191112.39699999994,50600.903999999886
2015,360,826,1896385.923,563621.2250000004
2015,360,842,20496507.682000045,7090885.914000002
2015,380,96,64914.99999999995,4051.3380000000093
2015,380,104,111838.21899999995,25515.279000000017
2015,380,116,76563.85300000002,21652.89500000001
2015,380,360,1411520.5789999994,309283.1669999993
2015,380,418,10517.453000000003,2183.284
2015,380,458,1303717.6369999994,250194.7829999989
2015,380,608,587360.0299999993,218890.978
2015,380,702,3210138.706000001,1147943.509000006
2015,380,704,1495676.1330000001,349510.0440000007
2015,380,764,1844703.7050000026,345468.915999999
2015,392,96,245322.12500000003,243334.71999999956
2015,392,104,1596428.4599999979,281452.3379999997
2015,392,116,504738.40799999994,941036.2400000002
2015,392,360,12602494.685000015,3981228.5830000024
2015,392,418,119115.86899999999,13293.370000000008
2015,392,458,13445578.323,4754647.828000026
2015,392,608,8890488.908000022,4222668.88499999
2015,392,702,20830492.027000017,10351578.461000029
2015,392,704,14038975.688000012,7021695.260000002
2015,392,764,30437338.035999995,9048535.746000007
2015,410,96,305229.5740000002,162644.49599999984
2015,410,104,831612.4810000001,229711.77299999993
2015,410,116,748724.3520000015,234143.32300000003
2015,410,360,8635898.815000001,6841226.797999993
2015,410,418,174524.011,27953.33100000001
2015,410,458,8063927.759000003,5567089.846999999
2015,410,608,8316534.796999988,4938756.085000001
2015,410,702,18913417.336999945,10486968.031000003
2015,410,704,27745065.95200002,5755062.276999993
2015,410,764,6945990.626999991,4033670.0270000054
2015,418,56,10023.908000000003,1051.9289999999996
2015,418,156,1511402.594,1655706.4530000007
2015,418,251,23102.11400000001,3809.2460000000033
2015,418,276,103740.05899999998,9855.797999999997
2015,418,380,23159.426,2689.995
2015,418,392,99300.42399999998,21041.96599999999
2015,418,410,31634.222999999984,49177.53399999995
2015,418,528,29914.023000000096,6299.120000000008
2015,418,616,3837.2910000000024,1004.2329999999997
2015,418,724,9676.234,873.2079999999997
2015,418,752,26361.966999999997,2596.3389999999995
2015,418,826,62682.904999999984,11242.22300000001
2015,418,842,56745.776000000005,8869.292000000001
2015,458,56,785072.7229999998,200281.29199999975
2015,458,156,46993504.65099997,51727529.645999976
2015,458,251,2250977.0429999963,400031.0949999999
2015,458,276,7350521.855000001,999379.1170000004
2015,458,380,1033691.5979999981,482400.0339999991
2015,458,392,21024967.20999998,22672304.923999984
2015,458,410,8517979.469000002,9142965.388000019
2015,458,528,7501655.166999994,2208229.3300000126
2015,458,616,931259.0950000003,349046.4599999992
2015,458,724,833324.6339999993,575338.0420000042
2015,458,752,445098.12299999985,185966.21100000036
2015,458,826,2646342.5359999994,914783.2290000006
2015,458,842,33706683.32399999,2921499.776000002
2015,528,96,33185.526000000085,13120.978000000086
2015,528,104,27093.72400000005,5751.136000000016
2015,528,116,42122.11999999989,29875.36500000002
2015,528,360,828610.6450000007,318825.8909999987
2015,528,418,2398.9960000000033,774.9169999999992
2015,528,458,2316834.934000003,2001078.6630000006
2015,528,608,452563.9949999963,194432.45799999803
2015,528,702,3864859.4320000117,6955699.8100000005
2015,528,704,937300.3730000029,370355.19599999895
2015,528,764,1047746.0510000007,344555.3629999981
2015,608,56,167108.34800000011,22622.919000000027
2015,608,156,18965654.303999983,41741584.627000034
2015,608,251,667874.9510000008,46655.08499999991
2015,608,276,3334218.5080000004,202785.37799999944
2015,608,380,269985.372,62436.26199999994
2015,608,392,8572308.613999987,5221912.329999986
2015,608,410,3251633.7719999976,1663680.8779999958
2015,608,528,1194970.535999998,361333.22199999704
2015,608,616,286815.0199999996,39405.73499999999
