country_iso3,country_name,country_group,year,metric,unit,value
BRN,Brunei Darussalam,ASEAN,2021,gdp_constant_2015_usd,USD constant 2015,13215632407.1015
BRN,Brunei Darussalam,ASEAN,2021,gdp_current_usd,USD,14006496617.4458
BRN,Brunei Darussalam,ASEAN,2021,gdp_per_capita_usd,USD,31006.9636289785
BRN,Brunei Darussalam,ASEAN,2021,population,persons,451721.0
BRN,Brunei Darussalam,ASEAN,2021,trade_pct_gdp,% of GDP,147.123112375318
BRN,Brunei Darussalam,ASEAN,2022,fdi_net_inflow_usd,USD,-290169984.940837
BRN,Brunei Darussalam,ASEAN,2022,gdp_constant_2015_usd,USD constant 2015,13000438095.7254
BRN,Brunei Darussalam,ASEAN,2022,gdp_current_usd,USD,16681536466.7183
BRN,Brunei Darussalam,ASEAN,2022,gdp_per_capita_usd,USD,36632.9280952155
BRN,Brunei Darussalam,ASEAN,2022,population,persons,455370.0
BRN,Brunei Darussalam,ASEAN,2022,trade_pct_gdp,% of GDP,146.973965879597
BRN,Brunei Darussalam,ASEAN,2023,fdi_net_inflow_usd,USD,-55927970.3793758
BRN,Brunei Darussalam,ASEAN,2023,gdp_constant_2015_usd,USD constant 2015,13147036779.4979
BRN,Brunei Darussalam,ASEAN,2023,gdp_current_usd,USD,15095084656.1634
BRN,Brunei Darussalam,ASEAN,2023,gdp_per_capita_usd,USD,32890.5491812019
BRN,Brunei Darussalam,ASEAN,2023,population,persons,458949.0
BRN,Brunei Darussalam,ASEAN,2023,trade_pct_gdp,% of GDP,136.86343465048
BRN,Brunei Darussalam,ASEAN,2024,fdi_net_inflow_usd,USD,29063018.6489884
BRN,Brunei Darussalam,ASEAN,2024,gdp_constant_2015_usd,USD constant 2015,13679822692.2189
BRN,Brunei Darussalam,ASEAN,2024,gdp_current_usd,USD,15340808592.48
BRN,Brunei Darussalam,ASEAN,2024,gdp_per_capita_usd,USD,33153.4738913513
BRN,Brunei Darussalam,ASEAN,2024,population,persons,462721.0
BRN,Brunei Darussalam,ASEAN,2024,trade_pct_gdp,% of GDP,132.587439642245
CHN,China,PARTNER,2000,fdi_net_inflow_usd,USD,42095300000.0
CHN,China,PARTNER,2000,gdp_constant_2015_usd,USD constant 2015,2825096197799.54
CHN,China,PARTNER,2000,gdp_current_usd,USD,1223754919971.05
CHN,China,PARTNER,2000,gdp_per_capita_usd,USD,969.199513696287
CHN,China,PARTNER,2000,population,persons,1262645000.0
CHN,China,PARTNER,2000,trade_pct_gdp,% of GDP,39.0109424774998
CHN,China,PARTNER,2001,fdi_net_inflow_usd,USD,47053000000.0
CHN,China,PARTNER,2001,gdp_constant_2015_usd,USD constant 2015,3059936242478.58
CHN,China,PARTNER,2001,gdp_current_usd,USD,1355036590251.52
CHN,China,PARTNER,2001,gdp_per_capita_usd,USD,1065.40597574519
CHN,China,PARTNER,2001,population,persons,1271850000.0
CHN,China,PARTNER,2001,trade_pct_gdp,% of GDP,38.0826469518334
CHN,China,PARTNER,2002,fdi_net_inflow_usd,USD,53073618897.4036
CHN,China,PARTNER,2002,gdp_constant_2015_usd,USD constant 2015,3342778183071.46
CHN,China,PARTNER,2002,gdp_current_usd,USD,1489821682050.54
CHN,China,PARTNER,2002,gdp_per_capita_usd,USD,1163.55957673426
CHN,China,PARTNER,2002,population,persons,1280400000.0
CHN,China,PARTNER,2002,trade_pct_gdp,% of GDP,42.1944423387413
CHN,China,PARTNER,2003,fdi_net_inflow_usd,USD,57900937467.3864
CHN,China,PARTNER,2003,gdp_constant_2015_usd,USD constant 2015,3681006926650.74
CHN,China,PARTNER,2003,gdp_current_usd,USD,1683903309843.85
CHN,China,PARTNER,2003,gdp_per_capita_usd,USD,1306.97245408557
CHN,China,PARTNER,2003,population,persons,1288400000.0
CHN,China,PARTNER,2003,trade_pct_gdp,% of GDP,51.0774801301803
CHN,China,PARTNER,2004,fdi_net_inflow_usd,USD,68117272181.2194
CHN,China,PARTNER,2004,gdp_constant_2015_usd,USD constant 2015,4053944733453.66
CHN,China,PARTNER,2004,gdp_current_usd,USD,1984196551300.44
CHN,China,PARTNER,2004,gdp_per_capita_usd,USD,1530.92726215723
CHN,China,PARTNER,2004,population,persons,1296075000.0
CHN,China,PARTNER,2004,trade_pct_gdp,% of GDP,58.6403340408439
CHN,China,PARTNER,2005,fdi_net_inflow_usd,USD,104108693867.085
CHN,China,PARTNER,2005,gdp_constant_2015_usd,USD constant 2015,4518455387849.41
CHN,China,PARTNER,2005,gdp_current_usd,USD,2317551298052.05
CHN,China,PARTNER,2005,gdp_per_capita_usd,USD,1777.64496828464
CHN,China,PARTNER,2005,population,persons,1303720000.0
CHN,China,PARTNER,2005,trade_pct_gdp,% of GDP,61.3600749408237
CHN,China,PARTNER,2006,fdi_net_inflow_usd,USD,124082035618.505
CHN,China,PARTNER,2006,gdp_constant_2015_usd,USD constant 2015,5091154930758.42
CHN,China,PARTNER,2006,gdp_current_usd,USD,2791498472804.33
CHN,China,PARTNER,2006,gdp_per_capita_usd,USD,2129.25696999613
CHN,China,PARTNER,2006,population,persons,1311020000.0
CHN,China,PARTNER,2006,trade_pct_gdp,% of GDP,63.5695798621627
CHN,China,PARTNER,2007,fdi_net_inflow_usd,USD,156249335203.201
CHN,China,PARTNER,2007,gdp_constant_2015_usd,USD constant 2015,5811552614974.09
CHN,China,PARTNER,2007,gdp_current_usd,USD,3604055822571.63
CHN,China,PARTNER,2007,gdp_per_capita_usd,USD,2734.72709877693
CHN,China,PARTNER,2007,population,persons,1317885000.0
CHN,China,PARTNER,2007,trade_pct_gdp,% of GDP,61.2664640006176
CHN,China,PARTNER,2008,fdi_net_inflow_usd,USD,171534650311.568
CHN,China,PARTNER,2008,gdp_constant_2015_usd,USD constant 2015,6373544042638.01
CHN,China,PARTNER,2008,gdp_current_usd,USD,4667346414521.95
CHN,China,PARTNER,2008,gdp_per_capita_usd,USD,3523.44302065213
CHN,China,PARTNER,2008,population,persons,1324655000.0
CHN,China,PARTNER,2008,trade_pct_gdp,% of GDP,56.7111330003209
CHN,China,PARTNER,2009,fdi_net_inflow_usd,USD,131057052869.5
CHN,China,PARTNER,2009,gdp_constant_2015_usd,USD constant 2015,6972829250985.1
CHN,China,PARTNER,2009,gdp_current_usd,USD,5189577094997.58
CHN,China,PARTNER,2009,gdp_per_capita_usd,USD,3898.24459158811
CHN,China,PARTNER,2009,population,persons,1331260000.0
CHN,China,PARTNER,2009,trade_pct_gdp,% of GDP,44.4197644331119
CHN,China,PARTNER,2010,fdi_net_inflow_usd,USD,243703434558.177
CHN,China,PARTNER,2010,gdp_constant_2015_usd,USD constant 2015,7711689202853.29
CHN,China,PARTNER,2010,gdp_current_usd,USD,6192564874453.29
