AidData Record ID,Recommended For Aggregates,Umbrella,Recipient,Recipient ISO-3,Commitment Year,Status,Flow Class,Sector Code,Sector Name,Funding Agencies,Amount (Constant USD 2021),Amount (Nominal USD),Adjusted Amount (Constant USD 2021)
32458,Yes,No,Cambodia,KHM,2008,Completion,ODA-like,110,EDUCATION,Unspecified Chinese Government Institution,,,
32459,Yes,No,Cambodia,KHM,2008,Completion,ODA-like,110,EDUCATION,Chinese Embassy,,,
32462,Yes,No,Cambodia,KHM,2008,Completion,ODA-like,150,GOVERNMENT AND CIVIL SOCIETY,China Ministry of National Defense,,,
33105,Yes,No,Cambodia,KHM,2008,Completion,ODA-like,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,110532.479341306,72500.0,110532.479341306
38733,Yes,No,Cambodia,KHM,2008,Completion,ODA-like,120,HEALTH,Unspecified Chinese Government Institution,,,
38772,Yes,No,Cambodia,KHM,2008,Completion,ODA-like,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,221064.958682612,145000.0,221064.958682612
38785,Yes,No,Cambodia,KHM,2008,Completion,OOF-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),88121066.2886551,57800000.0,88121066.2886551
38843,Yes,No,Cambodia,KHM,2008,Completion,OOF-like,120,HEALTH,Overseas Chinese Affairs Office,,,
38956,Yes,No,Cambodia,KHM,2008,Completion,OOF-like,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,,,
62472,Yes,No,Cambodia,KHM,2008,Completion,ODA-like,210,TRANSPORT AND STORAGE,Unspecified Chinese Government Institution,4419012.29476932,2898500.0,4419012.29476932
98237,Yes,No,Cambodia,KHM,2008,Completion,ODA-like,150,GOVERNMENT AND CIVIL SOCIETY,Unspecified Chinese Government Institution,457375.776584715,300000.0,457375.776584715
37864,Yes,No,Indonesia,IDN,2008,Completion,OOF-like,230,ENERGY,Export-Import Bank of China (China Eximbank),433422616.870977,284288744.0,433422616.870977
38021,Yes,No,Indonesia,IDN,2008,Completion,ODA-like,120,HEALTH,Unspecified Chinese Government Institution,658084.257430222,431647.864483045,658084.257430222
38038,No,No,Indonesia,IDN,2008,Suspended,ODA-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),394850554.458133,258988718.689827,394850554.458133
38604,Yes,No,Indonesia,IDN,2008,Completion,OOF-like,230,ENERGY,Export-Import Bank of China (China Eximbank),504371922.790544,330825515.0,504371922.790544
38606,Yes,No,Indonesia,IDN,2008,Completion,OOF-like,230,ENERGY,Bank of China (BOC)|China CITIC Bank Corporation Limited|China Construction Bank Corporation (CCB)|China Development Bank (CDB)|Industrial and Commercial Bank of China (ICBC),644899844.984448,423000000.0,644899844.984448
62053,Yes,No,Indonesia,IDN,2008,Completion,OOF-like,230,ENERGY,China Development Bank (CDB),199720755.775325,131000000.0,199720755.775325
62206,Yes,No,Indonesia,IDN,2008,Completion,OOF-like,230,ENERGY,Export-Import Bank of China (China Eximbank),228687888.292357,150000000.0,228687888.292357
66633,Yes,No,Indonesia,IDN,2008,Pipeline: Commitment,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",Unspecified Chinese Government Institution,2286878.88292357,1500000.0,2286878.88292357
66634,No,Yes,Indonesia,IDN,2008,Implementation,OOF-like,110,EDUCATION,China Ministry of Commerce,2582648.55178169,1694000.0,
71464,Yes,No,Indonesia,IDN,2008,Completion,OOF-like,110,EDUCATION,China Ministry of Commerce,,,
71465,Yes,No,Indonesia,IDN,2008,Completion,OOF-like,110,EDUCATION,China Ministry of Commerce,,,
71466,Yes,No,Indonesia,IDN,2008,Completion,OOF-like,110,EDUCATION,China Ministry of Commerce,,,
85358,Yes,No,Indonesia,IDN,2008,Completion,ODA-like,210,TRANSPORT AND STORAGE,Export-Import Bank of China (China Eximbank),340028511.904324,223030074.598634,340028511.904324
98339,Yes,No,Indonesia,IDN,2008,Pipeline: Commitment,OOF-like,220,COMMUNICATIONS,Bank of China (BOC),15245859.2194905,10000000.0,15245859.2194905
98585,Yes,No,Indonesia,IDN,2008,Pipeline: Commitment,OOF-like,240,BANKING AND FINANCIAL SERVICES,China CITIC Bank International Limited (formerly CITIC Ka Wah Bank),90875.3547987529,59606.5813611716,90875.3547987529
98588,Yes,No,Indonesia,IDN,2008,Pipeline: Commitment,OOF-like,240,BANKING AND FINANCIAL SERVICES,China CITIC Bank International Limited (formerly CITIC Ka Wah Bank),2134420.29072867,1400000.0,2134420.29072867
