t,asean_country,partner_group,direction,trade_usd_thousands,trade_usd_millions
2019,THA,CHN,asean_to_partner,43704579.56699985,43704.579566999855
2019,THA,CHN,partner_to_asean,51139513.62599994,51139.51362599994
2019,THA,EU,asean_to_partner,20086638.646000016,20086.638646000018
2019,THA,EU,partner_to_asean,15126858.616000006,15126.858616000007
2019,THA,GBR,asean_to_partner,3889872.280000006,3889.872280000006
2019,THA,GBR,partner_to_asean,2040122.0849999983,2040.1220849999984
2019,THA,JPN,asean_to_partner,25351612.52600002,25351.61252600002
2019,THA,JPN,partner_to_asean,31829207.89299998,31829.20789299998
2019,THA,KOR,asean_to_partner,5343226.813999993,5343.226813999992
2019,THA,KOR,partner_to_asean,8813783.60500002,8813.783605000019
2019,THA,USA,asean_to_partner,36430362.089999944,36430.362089999944
2019,THA,USA,partner_to_asean,14499729.551999995,14499.729551999995
2019,VNM,CHN,asean_to_partner,52988000.35699999,52988.00035699999
2019,VNM,CHN,partner_to_asean,79515350.72600001,79515.350726
2019,VNM,EU,asean_to_partner,35475967.92299999,35475.967923
2019,VNM,EU,partner_to_asean,11916578.469000004,11916.578469000004
2019,VNM,GBR,asean_to_partner,6070100.896000001,6070.100896000001
2019,VNM,GBR,partner_to_asean,884300.0389999987,884.3000389999987
2019,VNM,JPN,asean_to_partner,22348378.49899997,22348.37849899997
2019,VNM,JPN,partner_to_asean,18522992.835999943,18522.992835999943
2019,VNM,KOR,asean_to_partner,21157077.827000037,21157.077827000037
2019,VNM,KOR,partner_to_asean,47175309.76599996,47175.309765999955
2019,VNM,USA,asean_to_partner,67447935.94399995,67447.93594399994
2019,VNM,USA,partner_to_asean,13897455.007000022,13897.455007000022
2020,BRN,CHN,asean_to_partner,1508475.677,1508.475677
2020,BRN,CHN,partner_to_asean,613734.4590000001,613.7344590000001
2020,BRN,EU,asean_to_partner,18237.761000000002,18.237761000000003
2020,BRN,EU,partner_to_asean,266713.59600000014,266.7135960000001
2020,BRN,GBR,asean_to_partner,5415.2919999999995,5.415291999999999
2020,BRN,GBR,partner_to_asean,447553.699,447.553699
2020,BRN,JPN,asean_to_partner,1605167.4280000003,1605.1674280000002
2020,BRN,JPN,partner_to_asean,172961.23899999986,172.96123899999986
2020,BRN,KOR,asean_to_partner,212834.525,212.83452499999999
2020,BRN,KOR,partner_to_asean,146812.10899999997,146.81210899999996
2020,BRN,USA,asean_to_partner,77668.35899999998,77.66835899999998
2020,BRN,USA,partner_to_asean,283220.05299999914,283.22005299999915
2020,IDN,CHN,asean_to_partner,35581994.07699982,35581.99407699982
2020,IDN,CHN,partner_to_asean,40371205.82700002,40371.20582700002
2020,IDN,EU,asean_to_partner,14449223.545000002,14449.223545000003
2020,IDN,EU,partner_to_asean,8487954.03499999,8487.954034999992
2020,IDN,GBR,asean_to_partner,1794696.045000001,1794.696045000001
2020,IDN,GBR,partner_to_asean,980293.285,980.2932850000001
2020,IDN,JPN,asean_to_partner,15296157.902999995,15296.157902999996
2020,IDN,JPN,partner_to_asean,10152510.793,10152.510793
2020,IDN,KOR,asean_to_partner,7547362.926000001,7547.362926000001
2020,IDN,KOR,partner_to_asean,6768712.602000017,6768.712602000017
2020,IDN,USA,asean_to_partner,21356498.57799998,21356.49857799998
2020,IDN,USA,partner_to_asean,8464841.303999998,8464.841303999998
2020,KHM,CHN,asean_to_partner,1503127.086,1503.127086
2020,KHM,CHN,partner_to_asean,7441149.980999997,7441.149980999997
2020,KHM,EU,asean_to_partner,4597182.175,4597.182175
2020,KHM,EU,partner_to_asean,646374.007,646.374007
2020,KHM,GBR,asean_to_partner,1033283.3820000002,1033.2833820000003
2020,KHM,GBR,partner_to_asean,53774.07200000005,53.774072000000054
2020,KHM,JPN,asean_to_partner,1634360.2169999997,1634.3602169999997
2020,KHM,JPN,partner_to_asean,718417.2670000003,718.4172670000004
2020,KHM,KOR,asean_to_partner,318287.23299999983,318.28723299999984
2020,KHM,KOR,partner_to_asean,643691.3469999998,643.6913469999998
2020,KHM,USA,asean_to_partner,7309775.305,7309.775305
2020,KHM,USA,partner_to_asean,364075.982,364.075982
2020,LAO,CHN,asean_to_partner,1659031.8889999995,1659.0318889999994
2020,LAO,CHN,partner_to_asean,1614597.275,1614.5972749999999
2020,LAO,EU,asean_to_partner,279976.76499999996,279.97676499999994
2020,LAO,EU,partner_to_asean,150569.85499999998,150.569855
2020,LAO,GBR,asean_to_partner,32849.95200000001,32.84995200000001
2020,LAO,GBR,partner_to_asean,20382.47199999999,20.38247199999999
2020,LAO,JPN,asean_to_partner,135066.69799999995,135.06669799999995
2020,LAO,JPN,partner_to_asean,205322.7290000002,205.3227290000002
2020,LAO,KOR,asean_to_partner,43940.217999999986,43.94021799999999
2020,LAO,KOR,partner_to_asean,64569.83100000006,64.56983100000005
2020,LAO,USA,asean_to_partner,105497.061,105.497061
2020,LAO,USA,partner_to_asean,105523.493,105.523493
2020,MMR,CHN,asean_to_partner,5678350.149000002,5678.350149000002
2020,MMR,CHN,partner_to_asean,9999815.77300002,9999.81577300002
2020,MMR,EU,asean_to_partner,3647267.070999999,3647.267070999999
2020,MMR,EU,partner_to_asean,600762.7599999995,600.7627599999995
2020,MMR,GBR,asean_to_partner,397773.7550000001,397.7737550000001
2020,MMR,GBR,partner_to_asean,63088.28999999995,63.08828999999995
2020,MMR,JPN,asean_to_partner,1451000.0450000009,1451.000045000001
2020,MMR,JPN,partner_to_asean,716353.8539999994,716.3538539999994
2020,MMR,KOR,asean_to_partner,519641.4319999996,519.6414319999997
2020,MMR,KOR,partner_to_asean,728567.8270000012,728.5678270000012
2020,MMR,USA,asean_to_partner,1160245.863,1160.2458629999999
2020,MMR,USA,partner_to_asean,429769.3740000005,429.7693740000005
2020,MYS,CHN,asean_to_partner,59776241.33400003,59776.24133400003
2020,MYS,CHN,partner_to_asean,43610389.341000006,43610.38934100001
2020,MYS,EU,asean_to_partner,24451949.624000005,24451.949624000004
2020,MYS,EU,partner_to_asean,11511003.023999995,11511.003023999994
2020,MYS,GBR,asean_to_partner,2492317.286000004,2492.317286000004
2020,MYS,GBR,partner_to_asean,1722011.211,1722.011211
2020,MYS,JPN,asean_to_partner,15383346.95699999,15383.346956999989
2020,MYS,JPN,partner_to_asean,14538292.044999994,14538.292044999995
2020,MYS,KOR,asean_to_partner,8664292.643,8664.292642999999
2020,MYS,KOR,partner_to_asean,12037247.42100002,12037.24742100002
2020,MYS,USA,asean_to_partner,42678164.078999974,42678.16407899997
2020,MYS,USA,partner_to_asean,16156665.289999977,16156.665289999977
2020,PHL,CHN,asean_to_partner,14863817.474000014,14863.817474000014
2020,PHL,CHN,partner_to_asean,23271618.09499995,23271.61809499995
2020,PHL,EU,asean_to_partner,7003210.379000004,7003.210379000005
2020,PHL,EU,partner_to_asean,5464147.651999995,5464.147651999995
2020,PHL,GBR,asean_to_partner,573732.9239999996,573.7329239999997
2020,PHL,GBR,partner_to_asean,698517.1400000004,698.5171400000004
2020,PHL,JPN,asean_to_partner,10225758.405000005,10225.758405000004
2020,PHL,JPN,partner_to_asean,9103271.418999994,9103.271418999993
2020,PHL,KOR,asean_to_partner,3106232.595000001,3106.2325950000013
2020,PHL,KOR,partner_to_asean,7646827.847000002,7646.827847000002
2020,PHL,USA,asean_to_partner,11649074.683000011,11649.074683000012
2020,PHL,USA,partner_to_asean,7477712.881000012,7477.712881000012
2020,SGP,CHN,asean_to_partner,33660118.515000015,33660.11851500002
2020,SGP,CHN,partner_to_asean,49209737.561999954,49209.73756199995
2020,SGP,EU,asean_to_partner,16953420.373999998,16953.420373999998
2020,SGP,EU,partner_to_asean,27024976.971999988,27024.97697199999
2020,SGP,GBR,asean_to_partner,2694653.3060000027,2694.653306000003
2020,SGP,GBR,partner_to_asean,7673722.855999985,7673.722855999985
2020,SGP,JPN,asean_to_partner,9982920.133000016,9982.920133000016
2020,SGP,JPN,partner_to_asean,18667823.133000024,18667.823133000024
2020,SGP,KOR,asean_to_partner,8734765.923000019,8734.765923000019
2020,SGP,KOR,partner_to_asean,15768688.671000004,15768.688671000004
2020,SGP,USA,asean_to_partner,26083831.12999998,26083.83112999998
2020,SGP,USA,partner_to_asean,33243931.24400006,33243.93124400006
2020,THA,CHN,asean_to_partner,43723962.60099988,43723.962600999876
2020,THA,CHN,partner_to_asean,52393546.9989999,52393.546998999904
