country_iso3,year,partner_group,direction,metric,value_usd_millions,source
BRN,2020,EU,partner_to_asean,fdi_position,337.34445944287904,OECD BMD4 (fdi_position)
BRN,2020,EU,asean_to_partner,trade_goods,18.237761000000003,BACI HS07 V202601
BRN,2020,EU,partner_to_asean,trade_goods,266.7135960000001,BACI HS07 V202601
BRN,2020,GBR,asean_to_partner,trade_goods,5.415291999999999,BACI HS07 V202601
BRN,2020,GBR,partner_to_asean,trade_goods,447.553699,BACI HS07 V202601
BRN,2020,JPN,asean_to_partner,trade_goods,1605.1674280000002,BACI HS07 V202601
BRN,2020,JPN,partner_to_asean,trade_goods,172.96123899999986,BACI HS07 V202601
BRN,2020,KOR,partner_to_asean,fdi_flow,1.7223446,OECD BMD4 (fdi_flow)
BRN,2020,KOR,partner_to_asean,fdi_position,7.44434007,OECD BMD4 (fdi_position)
BRN,2020,KOR,asean_to_partner,trade_goods,212.834525,BACI HS07 V202601
BRN,2020,KOR,partner_to_asean,trade_goods,146.81210899999996,BACI HS07 V202601
BRN,2020,USA,partner_to_asean,fdi_flow,-4.0,BEA USDIA
BRN,2020,USA,partner_to_asean,fdi_position,5.0,BEA USDIA
BRN,2020,USA,asean_to_partner,trade_goods,77.66835899999998,BACI HS07 V202601
BRN,2020,USA,partner_to_asean,trade_goods,283.22005299999915,BACI HS07 V202601
BRN,2021,CHN,partner_to_asean,china_dev_finance,18.936,AidData GCDF 3.0 (constant 2021 USD)
BRN,2021,CHN,asean_to_partner,trade_goods,2243.989054000001,BACI HS07 V202601
BRN,2021,CHN,partner_to_asean,trade_goods,605.2129949999998,BACI HS07 V202601
BRN,2021,EU,partner_to_asean,fdi_flow,0.0,OECD BMD4 (fdi_flow)
BRN,2021,EU,partner_to_asean,fdi_position,40.663721825801,OECD BMD4 (fdi_position)
BRN,2021,EU,asean_to_partner,trade_goods,9.463869999999996,BACI HS07 V202601
BRN,2021,EU,partner_to_asean,trade_goods,233.78088499999984,BACI HS07 V202601
BRN,2021,GBR,asean_to_partner,trade_goods,10.526744,BACI HS07 V202601
BRN,2021,GBR,partner_to_asean,trade_goods,72.0793509999999,BACI HS07 V202601
BRN,2021,JPN,asean_to_partner,trade_goods,2326.874211,BACI HS07 V202601
BRN,2021,JPN,partner_to_asean,trade_goods,291.9863399999999,BACI HS07 V202601
