country_iso3,country_name,country_group,year,metric,unit,value
BRN,Brunei,ASEAN,2000,milex_constant_2024_usd_millions,"USD millions, constant 2024",353.22463679200337
BRN,Brunei,ASEAN,2000,milex_current_usd_millions,"USD millions, current",244.20520197684402
BRN,Brunei,ASEAN,2000,milex_per_capita_usd,USD per capita,756.2241682387785
BRN,Brunei,ASEAN,2000,milex_share_of_gdp_pct,% of GDP,4.069205490044461
BRN,Brunei,ASEAN,2000,milex_share_of_govt_pct,% of govt spending,9.795253606328524
BRN,Brunei,ASEAN,2001,milex_constant_2024_usd_millions,"USD millions, constant 2024",325.27692771002353
BRN,Brunei,ASEAN,2001,milex_current_usd_millions,"USD millions, current",217.66793918692653
BRN,Brunei,ASEAN,2001,milex_per_capita_usd,USD per capita,659.757757726627
BRN,Brunei,ASEAN,2001,milex_share_of_gdp_pct,% of GDP,3.8863976083707024
BRN,Brunei,ASEAN,2001,milex_share_of_govt_pct,% of govt spending,9.885931558935363
BRN,Brunei,ASEAN,2002,milex_constant_2024_usd_millions,"USD millions, constant 2024",345.7925816881636
BRN,Brunei,ASEAN,2002,milex_current_usd_millions,"USD millions, current",226.18243148906228
BRN,Brunei,ASEAN,2002,milex_per_capita_usd,USD per capita,671.6248570654136
BRN,Brunei,ASEAN,2002,milex_share_of_gdp_pct,% of GDP,3.870782758291121
BRN,Brunei,ASEAN,2002,milex_share_of_govt_pct,% of govt spending,8.432229856339788
BRN,Brunei,ASEAN,2003,milex_constant_2024_usd_millions,"USD millions, constant 2024",360.9321532582041
BRN,Brunei,ASEAN,2003,milex_current_usd_millions,"USD millions, current",243.3732450148664
BRN,Brunei,ASEAN,2003,milex_per_capita_usd,USD per capita,708.656651054123
BRN,Brunei,ASEAN,2003,milex_share_of_gdp_pct,% of GDP,3.711419618003887
BRN,Brunei,ASEAN,2003,milex_share_of_govt_pct,% of govt spending,10.84398976982097
BRN,Brunei,ASEAN,2004,milex_constant_2024_usd_millions,"USD millions, constant 2024",284.55603789513685
BRN,Brunei,ASEAN,2004,milex_current_usd_millions,"USD millions, current",199.38114931104053
BRN,Brunei,ASEAN,2004,milex_per_capita_usd,USD per capita,569.9128165645943
BRN,Brunei,ASEAN,2004,milex_share_of_gdp_pct,% of GDP,2.532730087630958
BRN,Brunei,ASEAN,2004,milex_share_of_govt_pct,% of govt spending,6.894435351882161
BRN,Brunei,ASEAN,2005,milex_constant_2024_usd_millions,"USD millions, constant 2024",345.06804304792706
BRN,Brunei,ASEAN,2005,milex_current_usd_millions,"USD millions, current",248.58807978851235
BRN,Brunei,ASEAN,2005,milex_per_capita_usd,USD per capita,698.3282013071453
BRN,Brunei,ASEAN,2005,milex_share_of_gdp_pct,% of GDP,2.349427638151595
BRN,Brunei,ASEAN,2005,milex_share_of_govt_pct,% of govt spending,8.101625220285882
BRN,Brunei,ASEAN,2006,milex_constant_2024_usd_millions,"USD millions, constant 2024",388.2323746709355
BRN,Brunei,ASEAN,2006,milex_current_usd_millions,"USD millions, current",293.4364635320625
BRN,Brunei,ASEAN,2006,milex_per_capita_usd,USD per capita,810.9227826948984
BRN,Brunei,ASEAN,2006,milex_share_of_gdp_pct,% of GDP,2.303963194655495
BRN,Brunei,ASEAN,2006,milex_share_of_govt_pct,% of govt spending,8.24929228591649
BRN,Brunei,ASEAN,2007,milex_constant_2024_usd_millions,"USD millions, constant 2024",401.6234686128167
BRN,Brunei,ASEAN,2007,milex_current_usd_millions,"USD millions, current",323.1371508194546
BRN,Brunei,ASEAN,2007,milex_per_capita_usd,USD per capita,879.3565483425981
BRN,Brunei,ASEAN,2007,milex_share_of_gdp_pct,% of GDP,2.3801522443409184
BRN,Brunei,ASEAN,2007,milex_share_of_govt_pct,% of govt spending,8.11937312437479
BRN,Brunei,ASEAN,2008,milex_constant_2024_usd_millions,"USD millions, constant 2024",414.4247054352184
BRN,Brunei,ASEAN,2008,milex_current_usd_millions,"USD millions, current",361.98903448421856
BRN,Brunei,ASEAN,2008,milex_per_capita_usd,USD per capita,967.1739616170426
BRN,Brunei,ASEAN,2008,milex_share_of_gdp_pct,% of GDP,2.261792368878447
BRN,Brunei,ASEAN,2008,milex_share_of_govt_pct,% of govt spending,8.353688324377137
BRN,Brunei,ASEAN,2009,milex_constant_2024_usd_millions,"USD millions, constant 2024",406.7782874622375
BRN,Brunei,ASEAN,2009,milex_current_usd_millions,"USD millions, current",349.75972280467766
BRN,Brunei,ASEAN,2009,milex_per_capita_usd,USD per capita,917.2557906923159
BRN,Brunei,ASEAN,2009,milex_share_of_gdp_pct,% of GDP,2.9410720317603616
BRN,Brunei,ASEAN,2009,milex_share_of_govt_pct,% of govt spending,8.442582144042483
BRN,Brunei,ASEAN,2010,milex_constant_2024_usd_millions,"USD millions, constant 2024",424.4530862511106
BRN,Brunei,ASEAN,2010,milex_current_usd_millions,"USD millions, current",390.7195400107077
BRN,Brunei,ASEAN,2010,milex_per_capita_usd,USD per capita,1005.4698220011315
BRN,Brunei,ASEAN,2010,milex_share_of_gdp_pct,% of GDP,2.8504879006008887
BRN,Brunei,ASEAN,2010,milex_share_of_govt_pct,% of govt spending,7.878586217095533
BRN,Brunei,ASEAN,2011,milex_constant_2024_usd_millions,"USD millions, constant 2024",415.71337969070964
BRN,Brunei,ASEAN,2011,milex_current_usd_millions,"USD millions, current",415.37152896471133
BRN,Brunei,ASEAN,2011,milex_per_capita_usd,USD per capita,1048.7326204072797
BRN,Brunei,ASEAN,2011,milex_share_of_gdp_pct,% of GDP,2.2422414199016685
BRN,Brunei,ASEAN,2011,milex_share_of_govt_pct,% of govt spending,7.547306081178679
BRN,Brunei,ASEAN,2012,milex_constant_2024_usd_millions,"USD millions, constant 2024",408.4145462599215
BRN,Brunei,ASEAN,2012,milex_current_usd_millions,"USD millions, current",411.2614739470378
BRN,Brunei,ASEAN,2012,milex_per_capita_usd,USD per capita,1021.2424267446005
BRN,Brunei,ASEAN,2012,milex_share_of_gdp_pct,% of GDP,2.1590344889604483
BRN,Brunei,ASEAN,2012,milex_share_of_govt_pct,% of govt spending,6.966246441642945
BRN,Brunei,ASEAN,2013,milex_constant_2024_usd_millions,"USD millions, constant 2024",408.17695120021676
BRN,Brunei,ASEAN,2013,milex_current_usd_millions,"USD millions, current",412.09427975415014
BRN,Brunei,ASEAN,2013,milex_per_capita_usd,USD per capita,1009.0309147126882
BRN,Brunei,ASEAN,2013,milex_share_of_gdp_pct,% of GDP,2.277507595049164
BRN,Brunei,ASEAN,2013,milex_share_of_govt_pct,% of govt spending,6.781533605155859
BRN,Brunei,ASEAN,2014,milex_constant_2024_usd_millions,"USD millions, constant 2024",530.4977212437847
BRN,Brunei,ASEAN,2014,milex_current_usd_millions,"USD millions, current",527.785180451652
BRN,Brunei,ASEAN,2014,milex_per_capita_usd,USD per capita,1274.849589736308
BRN,Brunei,ASEAN,2014,milex_share_of_gdp_pct,% of GDP,3.0868609578118504
BRN,Brunei,ASEAN,2014,milex_share_of_govt_pct,% of govt spending,9.05517941773866
BRN,Brunei,ASEAN,2015,milex_constant_2024_usd_millions,"USD millions, constant 2024",464.7559863562803
BRN,Brunei,ASEAN,2015,milex_current_usd_millions,"USD millions, current",424.0220391672654
BRN,Brunei,ASEAN,2015,milex_per_capita_usd,USD per capita,1010.7723643627469
BRN,Brunei,ASEAN,2015,milex_share_of_gdp_pct,% of GDP,3.279290460837484
BRN,Brunei,ASEAN,2015,milex_share_of_govt_pct,% of govt spending,8.478657649796393
BRN,Brunei,ASEAN,2016,milex_constant_2024_usd_millions,"USD millions, constant 2024",445.5737540209317
BRN,Brunei,ASEAN,2016,milex_current_usd_millions,"USD millions, current",403.366488712977
BRN,Brunei,ASEAN,2016,milex_per_capita_usd,USD per capita,949.2763078061212
BRN,Brunei,ASEAN,2016,milex_share_of_gdp_pct,% of GDP,3.539384639041191
BRN,Brunei,ASEAN,2016,milex_share_of_govt_pct,% of govt spending,8.994231079554623
BRN,Brunei,ASEAN,2017,milex_constant_2024_usd_millions,"USD millions, constant 2024",388.4918176338167
BRN,Brunei,ASEAN,2017,milex_current_usd_millions,"USD millions, current",346.7068044215495
BRN,Brunei,ASEAN,2017,milex_per_capita_usd,USD per capita,805.9050608578862
BRN,Brunei,ASEAN,2017,milex_share_of_gdp_pct,% of GDP,2.8651285095716896
BRN,Brunei,ASEAN,2017,milex_share_of_govt_pct,% of govt spending,7.832884427032321
BRN,Brunei,ASEAN,2018,milex_constant_2024_usd_millions,"USD millions, constant 2024",386.69374958053055
BRN,Brunei,ASEAN,2018,milex_current_usd_millions,"USD millions, current",357.7087675037257
BRN,Brunei,ASEAN,2018,milex_per_capita_usd,USD per capita,821.6843254491375
BRN,Brunei,ASEAN,2018,milex_share_of_gdp_pct,% of GDP,2.6366124853302066
BRN,Brunei,ASEAN,2018,milex_share_of_govt_pct,% of govt spending,8.200501359619306
BRN,Brunei,ASEAN,2019,milex_constant_2024_usd_millions,"USD millions, constant 2024",455.1262879631246
BRN,Brunei,ASEAN,2019,milex_current_usd_millions,"USD millions, current",414.72873900293257
BRN,Brunei,ASEAN,2019,milex_per_capita_usd,USD per capita,941.9594647145872
BRN,Brunei,ASEAN,2019,milex_share_of_gdp_pct,% of GDP,3.0785872494828057
BRN,Brunei,ASEAN,2019,milex_share_of_govt_pct,% of govt spending,9.491442953020135
BRN,Brunei,ASEAN,2020,milex_constant_2024_usd_millions,"USD millions, constant 2024",475.1206629531022
BRN,Brunei,ASEAN,2020,milex_current_usd_millions,"USD millions, current",436.5482233502538
BRN,Brunei,ASEAN,2020,milex_per_capita_usd,USD per capita,980.8375255298607
BRN,Brunei,ASEAN,2020,milex_share_of_gdp_pct,% of GDP,3.63429176862407
BRN,Brunei,ASEAN,2020,milex_share_of_govt_pct,% of govt spending,10.935513169845596
BRN,Brunei,ASEAN,2021,milex_constant_2024_usd_millions,"USD millions, constant 2024",472.57207736849665
BRN,Brunei,ASEAN,2021,milex_current_usd_millions,"USD millions, current",453.3377986157625
BRN,Brunei,ASEAN,2021,milex_per_capita_usd,USD per capita,1008.022143543376
BRN,Brunei,ASEAN,2021,milex_share_of_gdp_pct,% of GDP,3.2363674820972244
BRN,Brunei,ASEAN,2021,milex_share_of_govt_pct,% of govt spending,11.05134252539913
BRN,Brunei,ASEAN,2022,milex_constant_2024_usd_millions,"USD millions, constant 2024",449.5597170439046
BRN,Brunei,ASEAN,2022,milex_current_usd_millions,"USD millions, current",435.85735115960216
BRN,Brunei,ASEAN,2022,milex_per_capita_usd,USD per capita,960.6497333315749
BRN,Brunei,ASEAN,2022,milex_share_of_gdp_pct,% of GDP,2.6119300246394817
BRN,Brunei,ASEAN,2022,milex_share_of_govt_pct,% of govt spending,9.903164661282347
BRN,Brunei,ASEAN,2023,milex_constant_2024_usd_millions,"USD millions, constant 2024",449.84651622057595
